name,invisible,priority,description,day,start_time,end_time,hours,slots,location
Handbook Help,0,0,"",0,08:00,13:00,5:00,2,
Digital Signage,0,0,"",0,00:00,20:00,20:00,1,
Videography Coordinator,0,0,"",0,08:00,10:00,20:00,1,
Local SV Restaurant List,0,0,"",0,14:00,16:00,2:00,1,
Photographers,0,0,"",0,14:00,19:00,5:00,6,
Photography Coordinator,0,0,"",0,08:00,14:00,6:00,1,
Freight sorting,0,0,301 - Identify and find shipments; inventory shipments against bill of lading.,1,10:00,12:00,2:00,2,
Freight sorting,0,0,301 - Identify and find shipments; inventory shipments against bill of lading.,1,12:00,14:00,2:00,1,
Conference Office (KR Needed),0,0,304AB - Help set up conference office - probably running offsite errands (wear comfortable shoes). Needs to be fluent in English and Korean.,1,12:00,14:30,2:30,1,
Conference Office (KR Needed),0,0,304AB - Help set up conference office - probably running offsite errands (wear comfortable shoes). Needs to be fluent in English and Korean.,1,14:30,17:00,2:30,1,
Bag Stuffing,0,0,301 - Stuff materials into the registration bags and move some to registration desk.  2500 bags to stuff.,1,12:00,14:00,2:00,12,
Bag Stuffing,0,0,301 - Stuff materials into the registration bags and move some to registration desk.  2500 bags to stuff.,1,14:00,16:00,2:00,12,
Bag Stuffing,0,0,301 - Stuff materials into the registration bags and move some to registration desk.  2500 bags to stuff.,1,16:00,18:00,2:00,12,
Registration,0,0,309-316 Foyer,1,14:00,16:00,2:00,4,
Registration,0,0,309-316 Foyer,1,16:00,18:00,2:00,4,
Quick Response,0,0,301,1,12:00,14:00,2:00,1,
Quick Response,0,0,301,1,14:00,16:00,2:00,1,
Quick Response,0,0,301,1,16:00,18:00,2:00,1,
Scooter Help,0,0,"",1,09:00,10:00,1:00,2,
Operation Signage,0,0,"",1,16:30,18:00,1:30,1,
Workshop Lunch Coordinator (KR Needed),0,0,Korean speaker needed,2,09:30,12:30,3:00,2,
Day Captain,0,0,"",2,07:00,12:30,5:30,1,
Day Captain,0,0,"",2,12:00,18:00,6:00,1,
Registration,0,0,309-316 Foyer - Workshop Registration,2,07:15,09:30,2:15,3,
Registration,0,0,309-316 Foyer - Workshop Registration,2,09:30,12:00,2:30,3,
Conference Office (KR Needed),0,0,304AB - Help set up conference office - probably runnning offsite errands (wear comfy shoes).  Needs to be fluent in English and Korean.,2,09:00,11:00,2:00,1,
